id_departamento,id_municipio,nombre,poblacion
70,70713,San Onofre,49633
70,70717,San Pedro,18590
70,70742,San Luis de Sincé,30773
70,70771,Sucre,29552
70,70820,Santiago de Tolú,32922
70,70823,Tolú Viejo,21339
73,73001,Ibagué,529635
73,73024,Alpujarra,4544
73,73026,Alvarado,8697
73,73030,Ambalema,6657
73,73043,Anzoátegui,10217
73,73055,Armero,12696
73,73067,Ataco,19330
73,73124,Cajamarca,18471
73,73148,Carmen de Apicalá,10117
73,73152,Casabianca,6373
73,73168,Chaparral,50367
73,73200,Coello,8248
73,73217,Coyaima,22813
73,73226,Cunday,8745
73,73236,Dolores,8359
73,73268,Espinal,70494
73,73270,Falan,7693
73,73275,Flandes,28389
73,73283,Fresno,31069
73,73319,Guamo,32940
73,73347,Herveo,7363
73,73349,Honda,24693
73,73352,Icononzo,11887
73,73408,Lérida,18574
73,73411,Líbano,36773
73,73443,San Sebastián de Mariquita,37770
73,73449,Melgar,36536
73,73461,Murillo,4113
73,73483,Natagaima,14835
73,73504,Ortega,34607
73,73520,Palocabildo,9730
73,73547,Piedras,6711
73,73555,Planadas,25764
73,73563,Prado,8498
73,73585,Purificación,23536
73,73616,Rioblanco,22771
73,73622,Roncesvalles,5459
73,73624,Rovira,21674
73,73671,Saldaña,14435
73,73675,San Antonio,12896
73,73678,San Luis,13553
73,73686,Santa Isabel,5769
73,73770,Suárez,3813
73,73854,Valle de San Juan,5345
73,73861,Venadillo,12817
73,73870,Villahermosa,9283
73,73873,Villarrica,5128
76,76001,Cali,2227642
76,76020,Alcalá,14062
76,76036,Andalucía,22436
76,76041,Ansermanuevo,17448
76,76054,Argelia,5397
76,76100,Bolívar,16021
76,76109,Buenaventura,308188
76,76111,Guadalajara de Buga,127545
76,76113,Bugalagrande,24318
76,76122,Caicedonia,28825
76,76126,Calima,18054
76,76130,Candelaria,91825
76,76147,Cartago,135729
76,76233,Dagua,48443
76,76243,El Águila,8909
76,76246,El Cairo,6845
76,76248,El Cerrito,56470
76,76250,El Dovio,8886
76,76275,Florida,57374
76,76306,Ginebra,22741
76,76318,Guacarí,33191
76,76364,Jamundí,159877
76,76377,La Cumbre,16316
76,76400,La Unión,33953
76,76403,La Victoria,12174
76,76497,Obando,12312
76,76520,Palmira,349294
76,76563,Pradera,47615
76,76606,Restrepo,15307
76,76616,Riofrío,15554
76,76622,Roldanillo,36797
76,76670,San Pedro,16942
76,76736,Sevilla,42133
76,76823,Toro,14612
76,76828,Trujillo,19226
76,76834,Tuluá,212685
76,76845,Ulloa,5465
76,76863,Versalles,7263
76,76869,Vijes,12734
76,76890,Yotoco,16019
76,76892,Yumbo,107334
76,76895,Zarzal,41925
81,81001,Arauca,85585
81,81065,Arauquita,49841
81,81220,Cravo Norte,3925
81,81300,Fortul,18938
81,81591,Puerto Rondón,4399
81,81736,Saravena,55554
81,81794,Tame,43932
85,85001,Yopal,168433
85,85010,Aguazul,36915
85,85015,Chámeza,2500
85,85125,Hato Corozal,12328
85,85136,La Salina,1417
85,85139,Maní,17211
85,85162,Monterrey,17537
85,85225,Nunchía,8826
85,85230,Orocué,12340
85,85250,Paz de Ariporo,36277
85,85263,Pore,11967
85,85279,Recetor,1634
85,85300,Sabanalarga,3625
85,85315,Sácama,2090
85,85325,San Luis de Palenque,8466
85,85400,Támara,6873
85,85410,Tauramena,23527
85,85430,Trinidad,13233
85,85440,Villanueva,35305
86,86001,Mocoa,56398
86,86219,Colón,5407
86,86320,Orito,37745
86,86568,Puerto Asís,64867
86,86569,Puerto Caicedo,16095
86,86571,Puerto Guzmán,35390
86,86573,Puerto Leguízamo,28468
86,86749,Sibundoy,14940
86,86755,San Francisco,5645
86,86757,San Miguel,18780
86,86760,Santiago,7290
86,86865,Valle del Guamuez,33457
86,86885,Villagarzón,23700
88,88564,Providencia,5989
91,91001,Leticia,48144
91,91540,Puerto Nariño,9744
94,94001,Inírida,31514
95,95001,San José del Guaviare,52815
95,95015,Calamar,9528
95,95025,El Retorno,13653
95,95200,Miraflores,6771
97,97001,Mitú,29850
97,97161,Carurú,2915
97,97666,Taraira,2215
99,99001,Puerto Carreño,20936
99,99524,La Primavera,10122
99,99624,Santa Rosalía,4059
99,99773,Cumaribo,72691
